name,version,kind,type,main,module,hasExports,path
@tsparticles/interaction-external-slow,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\interaction-external-slow
@tsparticles/interaction-particles-attract,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\interaction-particles-attract
@tsparticles/interaction-particles-collisions,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\interaction-particles-collisions
@tsparticles/interaction-particles-links,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\interaction-particles-links
@tsparticles/move-base,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\move-base
@tsparticles/move-parallax,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\move-parallax
@tsparticles/plugin-easing-quad,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\plugin-easing-quad
@tsparticles/plugin-hex-color,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\plugin-hex-color
@tsparticles/plugin-hsl-color,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\plugin-hsl-color
@tsparticles/plugin-rgb-color,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\plugin-rgb-color
@tsparticles/shape-circle,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\shape-circle
@tsparticles/shape-emoji,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\shape-emoji
@tsparticles/shape-image,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\shape-image
@tsparticles/shape-line,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\shape-line
@tsparticles/shape-polygon,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\shape-polygon
@tsparticles/shape-square,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\shape-square
@tsparticles/shape-star,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\shape-star
@tsparticles/slim,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\slim
@tsparticles/updater-color,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\updater-color
@tsparticles/updater-life,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\updater-life
@tsparticles/updater-opacity,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\updater-opacity
@tsparticles/updater-out-modes,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\updater-out-modes
@tsparticles/updater-rotate,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\updater-rotate
@tsparticles/updater-size,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\updater-size
@tsparticles/updater-stroke-color,3.9.1,DUAL,,cjs/index.js,esm/index.js,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@tsparticles\updater-stroke-color
@vitejs/plugin-react,4.3.1,DUAL,,./dist/index.cjs,./dist/index.mjs,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@vitejs\plugin-react
acorn,8.15.0,DUAL,,dist/acorn.js,dist/acorn.mjs,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\acorn
attr-accept,2.2.5,DUAL,,dist/index.js,dist/es/index.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\attr-accept
clsx,2.1.1,DUAL,,dist/clsx.js,dist/clsx.mjs,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\clsx
css-box-model,1.2.1,DUAL,,dist/css-box-model.cjs.js,dist/css-box-model.esm.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\css-box-model
dom-helpers,5.2.1,DUAL,,cjs/index.js,esm/index.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\dom-helpers
escalade,3.2.0,DUAL,,dist/index.js,dist/index.mjs,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\escalade
esquery,1.6.0,DUAL,,dist/esquery.min.js,dist/esquery.esm.min.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\esquery
file-selector,2.1.2,DUAL,,./dist/index.js,./dist/es2015/index.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\file-selector
html-parse-stringify,3.0.1,DUAL,,dist/html-parse-stringify.js,dist/html-parse-stringify.module.js,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\html-parse-stringify
